stop_id,stop_name,stop_lon,stop_lat
PR-Q-020,Atacama esq. Vallenar,-71.46326780899994,-33.05779359299993
PR-M-154,Atlantico esq. 11 Poniente,-71.52121619899998,-32.994135651999954
PR-M-527,Atlantico esq. 12 Poniente,-71.52157139899998,-32.99405086199994
PR-M-460,Atlantico esq. 7 Sur,-71.52311230899994,-32.99312819399995
PR-M-528,Atlantico esq. Cantabrico,-71.52003332399994,-32.99438363199994
PR-M-529,Atlantico esq. Cantabrico,-71.51960149699994,-32.994331976999945
PR-M-423,Augusto D Halmar esq. Misquehue,-71.49478323499994,-33.02150510599995
PR-M-440,Augusto D Halmar esq. Pablo Neruda,-71.49287151299995,-33.02127528999995
PR-M-426,Augusto D Helmar esq. Gabriela Mistral,-71.49474767899994,-33.02158498899996
PR-Q-115,Autopista Troncal Sur esq. Marga Marga,-71.42184108699996,-33.06486138399998
PR-L-028,Av. 18 De Septiembre esq. Brisas Del Norte Calle 1,-71.25287105699994,-33.01184521099998
PR-L-024,Av. 18 De Septiembre esq. Teniente Merino,-71.25463960599996,-33.017598464999935
PR-L-067,Av. Adolfo Eastman esq. Eleuterio Ramirez,-71.26255141399997,-32.989415522999934
PR-V-305,Av. Alemania esq. 380,-71.61955107099993,-33.05355120399997
PR-V-300,Av. Alemania esq. 6838,-71.62461297699997,-33.054034082999976
PR-V-293,Av. Alemania esq. 7436,-71.61955030699994,-33.053865868999935
PR-V-294,Av. Alemania esq. Alberdi,-71.61827368499996,-33.05289874799996
PR-V-011,Av. Alemania esq. Aristoteles,-71.60732479999996,-33.056074086999956
PR-V-307,Av. Alemania esq. B Pinto,-71.62670355799997,-33.05181200699997
PR-V-310,Av. Alemania esq. B Pinto,-71.62649894499998,-33.05183623599993
PR-M-313,Av. Alemania esq. Calle 1,-71.49784652399995,-32.98672466299996
PR-V-289,Av. Alemania esq. Calle Mena,-71.62220193799999,-33.05463879499996
PR-M-315,Av. Alemania esq. Calle Uno,-71.49752024699995,-32.986967756999945
PR-V-508,Av. Alemania esq. Caupolican,-71.63227894799996,-33.048075179999955
PR-V-498,Av. Alemania esq. Caupolican,-71.63218364999994,-33.04801520199993
PR-V-309,Av. Alemania esq. Cesfam,-71.63139773699999,-33.04890720199995
PR-V-314,Av. Alemania esq. Cesfam,-71.63099548399998,-33.04892916199998
PR-V-302,Av. Alemania esq. Figueroa,-71.61839704999994,-33.052810309999984
PR-V-295,Av. Alemania esq. Galleguillos,-71.61642066599995,-33.052854509999975
PR-V-499,Av. Alemania esq. Mackay,-71.63194980299994,-33.04659855699998
PR-V-304,Av. Alemania esq. Nueva,-71.62015317199996,-33.05464852799997
PR-V-292,Av. Alemania esq. Osman Perez Freire,-71.62109890399995,-33.05517555999995
PR-V-153,Av. Alemania esq. Otaegui,-71.62595121299995,-33.05325604899997
PR-V-290,Av. Alemania esq. Ricardo De Ferrari,-71.62294878199998,-33.05444159099994
PR-M-250,Av. Alemania esq. Suiza,-71.48250329899997,-33.03353525199998
PR-V-301,Av. Alemania esq. Trinquete,-71.62129491699994,-33.055211235999934
PR-V-256,Av. Alemania esq. Valenzuela Puelma,-71.61629901399994,-33.05276752599997
PR-V-291,Av. Alemania esq. Yerbas Buenas,-71.62447907399996,-33.05435335899995
PR-V-303,Av. Alemania esq. Yerbas Buenas,-71.62393757099994,-33.054392736999944
PR-M-208,Av. Alessandri esq. 22 Norte,-71.54427728099995,-33.00250094399996
PR-M-452,Av. Alessandri esq. 23 Norte,-71.54401847999998,-33.002252098999975
PR-M-453,Av. Alessandri esq. Acceso Hn,-71.54299465499997,-33.001005550999935
PR-M-196,Av. Alessandri esq. Austral,-71.51812960599995,-33.00295299299995
PR-M-454,Av. Alessandri esq. Calle 7,-71.53913020399995,-33.001687782999966
PR-M-464,Av. Alessandri esq. Feria Caupolican,-71.51623400499994,-33.00093483999996
PR-M-605,Av. Alessandri esq. Indico,-71.51771531199995,-33.00272314099993
PR-M-463,Av. Alessandri esq. Nueva Granadilla,-71.51930377499997,-33.004618265999966
PR-M-197,Av. Alessandri esq. Pasaje A,-71.53943585599995,-33.00153354999998
PR-M-248,Av. Alessandri Hacia Poniente esq. Pasaje Parina,-71.51904537199994,-33.00403056299996
PR-M-280,Av. Almirante Jorge Montt esq. 19 Norte,-71.54935366699993,-33.002494610999975
PR-M-281,Av. Almirante Jorge Montt esq. 25 Norte,-71.54900727999996,-33.00071153999994
PR-M-292,Av.  Almirante Jorge Montt esq. Capilla,-71.54798338599994,-32.99725023999997
PR-M-294,Av. Almirante Jorge Montt esq. Club Naval De Campo Las Salinas,-71.54691472599995,-32.99141409899994
PR-M-297,Av. Almirante Jorge Montt esq. Guardiamarina Riquelme,-71.54733767999994,-32.99360704099996
PR-M-293,Av. Almirante Jorge Montt esq. Guardia Marina Riquelme,-71.54759003599997,-32.99578731999998
PR-V-208,Av. Altamirano esq. Frente A Asmar,-71.63134046999994,-33.02655461899997
PR-M-103,Av. Antartico esq. 1 Norte,-71.52837704199999,-32.98800154199995
PF-008,Av. Argentina con Chacabuco,-71.60428297899995,-33.04607653199997
PF-009,Av. Argentina con Yungay,-71.60523811999997,-33.04494820399998
PR-V-138,Av. Argentina esq. Almirante Simpson,-71.60214690899994,-33.051347573999976
PR-V-148,Av. Argentina esq. Chacabuco,-71.60456246399997,-33.046528387999956
